Company,Address,Phone
Roble Shipping Inc.,"Roble Building, E.S. Baclig T. Padilla Extension, North Reclemation Area, Cebu City","(032) 419-1190 to 95 / (032) 260-1921 to 23"
Roble Shipping Inc.,"Modesta Building, Corner Bonifacio and Burgos St., Ormoc City","561-2801 and 255-7613"
Roble Shipping Inc.,"Vilbar St., Hilongos Leyte",567-8042
Roble Shipping Inc.,"A. Bonifacio St., Baybay City","053-5637487 / 053-3353550"
Roble Shipping Inc.,"Pier 3, Cebu City","412-3183 / 401-3971"
Roble Shipping Inc.,"Public Market, Inopacan, Leyte","0917-7229-727 / (053) 565-0150"
Roble Shipping Inc.,"Concepcion St., Sogod, Southern Leyte","0917-8549-230 / (053) 382-2062"
Roble Shipping Inc.,"Tunga-tunga, Maasin, Southern Leyte","0922-8838-328 / (053) 570-8237"
Roble Shipping Inc.,"Brgy. 24, Sto. Nino St. Tacloban City","(053) 523-8107 / 0917-3152-481"
Roble Shipping Inc.,"519 M.J. Cuenco Avenue, Cebu City","(032) 255-5898 / 0922-8555-141"
Roble Shipping Inc.,"Pier 2, 152 Allen Ave., Catbalogan, Samar","0917-7976-275 / (053) 251-2966"
Roble Shipping Inc.,"Brgy. Liberty, Hilongos, Leyte","0922-2610-628 / 0917-6015-558"
Roble Shipping Inc.,"T. Inocentes St., Naval, Biliran","0917-7548-243(053) 500-7898"
Roble Shipping Inc.,"CV Alcuino, Hilongos, Leyte","0917-6288-666"
